treaty_id,cedent_company,reinsurer_company,treaty_type,treaty_name,line_of_business,territory,cat_region,retention_amount,treaty_limit,attachment_point,cession_percent,reinsurer_share,risk_tier,exclusions,treaty_summary,source_system,data_sensitivity,effective_date,expiration_date,treaty_status,created_timestamp,updated_timestamp,created_by,updated_by,cat_exposure_score,coverage_region,limit_amount,reinstatement_terms
TRT-000011,Robinson-Dickerson,"Neal, Brown and Delgado",Catastrophe XOL,Global Workers Compensation Catastrophe XOL Treaty,Workers Compensation,Global,Global,1024925.23,10000000,1024925.23,75,75.00,High,Cyber Exclusion,Treaty designed to reduce retained underwriting volatility.,reinsurance_admin_system,confidential,2023-05-27,2024-05-26,Expired,2023-04-27T15:50:00.799971,2023-08-25T15:50:00.799971,ri_manager_001,ri_manager_001,0.67,Global,10000000.00,One reinstatement at 100% additional premium
TRT-000012,Walker-Green,Phillips-Smith,Surplus Share,North America Cyber Surplus Share Treaty,Cyber,North America,North America,10142181.04,50000000,10142181.04,20,20.00,Medium,"Pandemic Exclusion, Nuclear Exclusion",Surplus Share treaty covering exposures in North America.,ceded_reinsurance_portal,confidential,2026-05-02,2027-05-02,Active,2026-04-02T15:50:00.800970,2026-07-31T15:50:00.800970,reinsurance_analyst_001,ri_manager_001,0.29,North America,50000000.00,Not applicable / subject to treaty terms
TRT-000013,Nelson and Sons,Carter LLC,Surplus Share,United States Cyber Surplus Share Treaty,Cyber,United States,United States,5322160.35,25000000,5322160.35,40,40.00,Medium,"Nuclear Exclusion, Pandemic Exclusion",Treaty includes catastrophe protection for United States.,reinsurance_admin_system,restricted,2025-02-02,2026-02-02,Expired,2025-01-03T15:50:00.800970,2025-05-03T15:50:00.800970,reinsurance_analyst_001,ri_manager_001,0.53,United States,25000000.00,Not applicable / subject to treaty terms
TRT-000014,Hayes-Berry,Day-Ferguson,Surplus Share,Southeast US Workers Compensation Surplus Share Treaty,Workers Compensation,Southeast US,Southeast US,7491065.19,100000000,7491065.19,75,75.00,High,"War Exclusion, Nuclear Exclusion",Treaty includes catastrophe protection for Southeast US.,treaty_management_platform,restricted,2025-05-14,2026-05-14,Active,2025-04-14T15:50:00.800970,2025-08-12T15:50:00.800970,ri_manager_001,reinsurance_analyst_001,0.76,Southeast US,100000000.00,Not applicable / subject to treaty terms
TRT-000015,Heath-Jones,"Fuller, Glenn and Price",Surplus Share,Gulf Coast Commercial Property Surplus Share Treaty,Commercial Property,Gulf Coast,Gulf Coast,1382839.69,10000000,1382839.69,20,20.00,Low,Cyber Exclusion,Surplus Share treaty covering exposures in Gulf Coast.,reinsurance_admin_system,confidential,2025-09-23,2026-09-23,Active,2025-08-24T15:50:00.800970,2025-12-22T15:50:00.800970,reinsurance_analyst_001,reinsurance_analyst_001,0.38,Gulf Coast,10000000.00,Not applicable / subject to treaty terms
TRT-000016,"Mitchell, Cameron and Rodriguez",Ponce-Irwin,Surplus Share,North America Commercial Auto Surplus Share Treaty,Commercial Auto,North America,North America,2217716.68,10000000,2217716.68,40,40.00,Medium,War Exclusion,Treaty designed to reduce retained underwriting volatility.,reinsurance_admin_system,internal,2025-11-23,2026-11-23,Active,2025-10-24T15:50:00.801970,2026-02-21T15:50:00.801970,reinsurance_analyst_001,ri_manager_001,0.61,North America,10000000.00,Not applicable / subject to treaty terms
TRT-000017,"Kennedy, Taylor and Martinez","Mcclain, Liu and Miller",Excess of Loss,North America Commercial Property Excess of Loss Treaty,Commercial Property,North America,North America,4460604.41,25000000,4460604.41,40,40.00,Medium,War Exclusion,Coverage includes regional catastrophe aggregation management.,reinsurance_admin_system,internal,2025-11-19,2026-11-19,Active,2025-10-20T15:50:00.801970,2026-02-17T15:50:00.801970,reinsurance_analyst_001,ri_manager_001,0.82,North America,25000000.00,One reinstatement at 100% additional premium
TRT-000018,"Klein, Davis and Hale","Aguilar, Barnes and Castillo",Quota Share,United States Workers Compensation Quota Share Treaty,Workers Compensation,United States,United States,684699.97,10000000,684699.97,10,10.00,Low,"Pandemic Exclusion, War Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,confidential,2024-02-27,2025-02-26,Expired,2024-01-28T15:50:00.801970,2024-05-27T15:50:00.801970,ri_manager_001,reinsurance_analyst_001,0.44,United States,10000000.00,Not applicable / subject to treaty terms
TRT-000019,Campbell LLC,Torres-Herring,Quota Share,Gulf Coast Commercial Auto Quota Share Treaty,Commercial Auto,Gulf Coast,Gulf Coast,2987928.83,25000000,2987928.83,75,75.00,Medium,War Exclusion,Treaty includes catastrophe protection for Gulf Coast.,reinsurance_admin_system,restricted,2024-12-22,2025-12-22,Expired,2024-11-22T15:50:00.801970,2025-03-22T15:50:00.801970,reinsurance_analyst_001,ri_manager_001,0.67,Gulf Coast,25000000.00,Not applicable / subject to treaty terms
TRT-000020,Jones-Mays,Jones-Baker,Excess of Loss,Southeast US Commercial Auto Excess of Loss Treaty,Commercial Auto,Southeast US,Southeast US,1837396.09,10000000,1837396.09,90,90.00,Medium,Pandemic Exclusion,Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,restricted,2025-09-12,2026-09-12,Active,2025-08-13T15:50:00.802969,2025-12-11T15:50:00.802969,reinsurance_analyst_001,reinsurance_analyst_001,0.29,Southeast US,10000000.00,One reinstatement at 100% additional premium
TRT-000021,Anderson LLC,Ballard Group,Quota Share,North America General Liability Quota Share Treaty,General Liability,North America,North America,4248131.54,25000000,4248131.54,75,75.00,Medium,Cyber Exclusion,Treaty includes catastrophe protection for North America.,reinsurance_admin_system,restricted,2024-03-26,2025-03-26,Expired,2024-02-25T15:50:00.802969,2024-06-24T15:50:00.802969,ri_manager_001,reinsurance_analyst_001,0.53,North America,25000000.00,Not applicable / subject to treaty terms
TRT-000022,"Adams, Alvarado and Ruiz",Peck Inc,Excess of Loss,Gulf Coast Commercial Auto Excess of Loss Treaty,Commercial Auto,Gulf Coast,Gulf Coast,6486033.94,100000000,6486033.94,10,10.00,Medium,"Terrorism Exclusion, Nuclear Exclusion",Excess of Loss treaty covering exposures in Gulf Coast.,treaty_management_platform,confidential,2025-03-14,2026-03-14,Expired,2025-02-12T15:50:00.802969,2025-06-12T15:50:00.802969,reinsurance_analyst_001,reinsurance_analyst_001,0.76,Gulf Coast,100000000.00,One reinstatement at 100% additional premium
TRT-000023,"Wise, Cowan and Wilson",Martinez Ltd,Surplus Share,Global Commercial Property Surplus Share Treaty,Commercial Property,Global,Global,7468176.23,50000000,7468176.23,10,10.00,Medium,"Terrorism Exclusion, Nuclear Exclusion",Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,internal,2024-03-03,2025-03-03,Expired,2024-02-02T15:50:00.802969,2024-06-01T15:50:00.802969,ri_manager_001,reinsurance_analyst_001,0.38,Global,50000000.00,Not applicable / subject to treaty terms
TRT-000024,Powell-Gordon,Alexander-Frost,Catastrophe XOL,Southeast US Workers Compensation Catastrophe XOL Treaty,Workers Compensation,Southeast US,Southeast US,734959.01,5000000,734959.01,50,50.00,Medium,"Pandemic Exclusion, Nuclear Exclusion",Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,internal,2024-09-27,2025-09-27,Expired,2024-08-28T15:50:00.802969,2024-12-26T15:50:00.802969,ri_manager_001,ri_manager_001,0.61,Southeast US,5000000.00,One reinstatement at 100% additional premium
TRT-000025,Reynolds-Zamora,"Newman, Johnson and Gibson",Surplus Share,North America Commercial Auto Surplus Share Treaty,Commercial Auto,North America,North America,1618916.10,10000000,1618916.10,20,20.00,Low,Cyber Exclusion,Reinsurance agreement structured for multi-line protection.,ceded_reinsurance_portal,confidential,2023-03-27,2024-03-26,Expired,2023-02-25T15:50:00.803970,2023-06-25T15:50:00.803970,reinsurance_analyst_001,reinsurance_analyst_001,0.82,North America,10000000.00,Not applicable / subject to treaty terms
TRT-000026,Hansen LLC,Castillo and Sons,Quota Share,Gulf Coast Workers Compensation Quota Share Treaty,Workers Compensation,Gulf Coast,Gulf Coast,946059.42,10000000,946059.42,50,50.00,Medium,"Terrorism Exclusion, Nuclear Exclusion",Quota Share treaty covering exposures in Gulf Coast.,reinsurance_admin_system,confidential,2023-10-13,2024-10-12,Expired,2023-09-13T15:50:00.803970,2024-01-11T15:50:00.803970,reinsurance_analyst_001,reinsurance_analyst_001,0.44,Gulf Coast,10000000.00,Not applicable / subject to treaty terms
TRT-000027,"Williams, Rios and Guerrero",Norman Group,Catastrophe XOL,Global Commercial Auto Catastrophe XOL Treaty,Commercial Auto,Global,Global,5486422.94,25000000,5486422.94,10,10.00,Medium,War Exclusion,Treaty includes catastrophe protection for Global.,treaty_management_platform,restricted,2023-03-22,2024-03-21,Expired,2023-02-20T15:50:00.803970,2023-06-20T15:50:00.803970,ri_manager_001,ri_manager_001,0.67,Global,25000000.00,One reinstatement at 100% additional premium
TRT-000028,Taylor Inc,"Barajas, Berry and Bowman",Catastrophe XOL,United States Commercial Property Catastrophe XOL Treaty,Commercial Property,United States,United States,435268.66,5000000,435268.66,75,75.00,Medium,War Exclusion,Catastrophe XOL treaty covering exposures in United States.,reinsurance_admin_system,restricted,2026-01-02,2027-01-02,Active,2025-12-03T15:50:00.803970,2026-04-02T15:50:00.803970,ri_manager_001,ri_manager_001,0.29,United States,5000000.00,One reinstatement at 100% additional premium
TRT-000029,Taylor Group,Castillo-Coleman,Quota Share,United States Commercial Property Quota Share Treaty,Commercial Property,United States,United States,517640.40,10000000,517640.40,75,75.00,Medium,Pandemic Exclusion,Coverage includes regional catastrophe aggregation management.,treaty_management_platform,confidential,2023-07-16,2024-07-15,Expired,2023-06-16T15:50:00.803970,2023-10-14T15:50:00.803970,reinsurance_analyst_001,reinsurance_analyst_001,0.53,United States,10000000.00,Not applicable / subject to treaty terms
TRT-000030,"Ross, Cooke and Russell",King PLC,Quota Share,Global Workers Compensation Quota Share Treaty,Workers Compensation,Global,Global,392000.99,5000000,392000.99,40,40.00,Low,Pandemic Exclusion,Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,internal,2025-09-13,2026-09-13,Active,2025-08-14T15:50:00.804969,2025-12-12T15:50:00.804969,ri_manager_001,reinsurance_analyst_001,0.76,Global,5000000.00,Not applicable / subject to treaty terms
TRT-000031,"Holt, Knight and Knight",Johnson-Wallace,Quota Share,Global Commercial Property Quota Share Treaty,Commercial Property,Global,Global,307610.92,5000000,307610.92,50,50.00,Low,"Terrorism Exclusion, War Exclusion",Treaty designed to reduce retained underwriting volatility.,reinsurance_admin_system,confidential,2024-03-31,2025-03-31,Expired,2024-03-01T15:50:00.804969,2024-06-29T15:50:00.804969,reinsurance_analyst_001,ri_manager_001,0.38,Global,5000000.00,Not applicable / subject to treaty terms
TRT-000032,"Wright, Jacobs and Schwartz",Hall-Lopez,Surplus Share,North America Cyber Surplus Share Treaty,Cyber,North America,North America,7361818.00,50000000,7361818.00,10,10.00,Medium,Terrorism Exclusion,Coverage includes regional catastrophe aggregation management.,treaty_management_platform,confidential,2025-04-18,2026-04-18,Expired,2025-03-19T15:50:00.804969,2025-07-17T15:50:00.804969,ri_manager_001,reinsurance_analyst_001,0.61,North America,50000000.00,Not applicable / subject to treaty terms
TRT-000033,Hahn-Perez,"Williams, Phillips and Newman",Quota Share,Southeast US Commercial Auto Quota Share Treaty,Commercial Auto,Southeast US,Southeast US,3946208.90,25000000,3946208.90,30,30.00,Low,Terrorism Exclusion,Treaty includes catastrophe protection for Southeast US.,reinsurance_admin_system,internal,2024-06-17,2025-06-17,Expired,2024-05-18T15:50:00.804969,2024-09-15T15:50:00.804969,reinsurance_analyst_001,reinsurance_analyst_001,0.82,Southeast US,25000000.00,Not applicable / subject to treaty terms
TRT-000034,Williams Ltd,Kim-Mcclure,Excess of Loss,Southeast US Cyber Excess of Loss Treaty,Cyber,Southeast US,Southeast US,10317871.44,50000000,10317871.44,50,50.00,Medium,War Exclusion,Excess of Loss treaty covering exposures in Southeast US.,treaty_management_platform,confidential,2023-04-18,2024-04-17,Expired,2023-03-19T15:50:00.805970,2023-07-17T15:50:00.805970,ri_manager_001,reinsurance_analyst_001,0.44,Southeast US,50000000.00,One reinstatement at 100% additional premium
TRT-000035,Rodriguez-Campos,Hart LLC,Excess of Loss,Gulf Coast Workers Compensation Excess of Loss Treaty,Workers Compensation,Gulf Coast,Gulf Coast,8204916.97,50000000,8204916.97,20,20.00,Medium,"Cyber Exclusion, War Exclusion",Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,confidential,2024-09-25,2025-09-25,Expired,2024-08-26T15:50:00.805970,2024-12-24T15:50:00.805970,reinsurance_analyst_001,ri_manager_001,0.67,Gulf Coast,50000000.00,One reinstatement at 100% additional premium
TRT-000036,Taylor and Sons,Watson Ltd,Excess of Loss,Global Commercial Auto Excess of Loss Treaty,Commercial Auto,Global,Global,6644996.96,50000000,6644996.96,90,90.00,High,"Cyber Exclusion, War Exclusion",Coverage includes regional catastrophe aggregation management.,treaty_management_platform,confidential,2025-02-18,2026-02-18,Expired,2025-01-19T15:50:00.805970,2025-05-19T15:50:00.805970,ri_manager_001,ri_manager_001,0.29,Global,50000000.00,One reinstatement at 100% additional premium
TRT-000037,"Haley, Stephens and Huffman",Walton and Sons,Surplus Share,North America Commercial Auto Surplus Share Treaty,Commercial Auto,North America,North America,3670385.08,25000000,3670385.08,90,90.00,Medium,"War Exclusion, Cyber Exclusion",Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,internal,2024-05-09,2025-05-09,Expired,2024-04-09T15:50:00.805970,2024-08-07T15:50:00.805970,ri_manager_001,reinsurance_analyst_001,0.53,North America,25000000.00,Not applicable / subject to treaty terms
TRT-000038,Walsh Group,Reid-Phillips,Quota Share,United States General Liability Quota Share Treaty,General Liability,United States,United States,22293022.56,100000000,22293022.56,20,20.00,Medium,"Cyber Exclusion, Pandemic Exclusion",Coverage includes regional catastrophe aggregation management.,reinsurance_admin_system,confidential,2024-06-07,2025-06-07,Expired,2024-05-08T15:50:00.805970,2024-09-05T15:50:00.805970,ri_manager_001,ri_manager_001,0.76,United States,100000000.00,Not applicable / subject to treaty terms
TRT-000039,Watkins-Phelps,David Ltd,Surplus Share,North America Commercial Auto Surplus Share Treaty,Commercial Auto,North America,North America,12251080.52,50000000,12251080.52,20,20.00,Medium,"War Exclusion, Cyber Exclusion",Reinsurance agreement structured for multi-line protection.,ceded_reinsurance_portal,confidential,2025-07-17,2026-07-17,Active,2025-06-17T15:50:00.806970,2025-10-15T15:50:00.806970,reinsurance_analyst_001,ri_manager_001,0.38,North America,50000000.00,Not applicable / subject to treaty terms
TRT-000040,"Hicks, Robinson and Brown",Stafford PLC,Surplus Share,Gulf Coast General Liability Surplus Share Treaty,General Liability,Gulf Coast,Gulf Coast,11620505.49,50000000,11620505.49,30,30.00,Medium,War Exclusion,Treaty includes catastrophe protection for Gulf Coast.,ceded_reinsurance_portal,internal,2023-09-10,2024-09-09,Expired,2023-08-11T15:50:00.806970,2023-12-09T15:50:00.806970,reinsurance_analyst_001,ri_manager_001,0.61,Gulf Coast,50000000.00,Not applicable / subject to treaty terms
TRT-000041,Morse and Sons,Coleman and Sons,Excess of Loss,North America Workers Compensation Excess of Loss Treaty,Workers Compensation,North America,North America,324422.87,5000000,324422.87,75,75.00,Low,Pandemic Exclusion,Coverage includes regional catastrophe aggregation management.,reinsurance_admin_system,internal,2026-02-12,2027-02-12,Active,2026-01-13T15:50:00.806970,2026-05-13T15:50:00.806970,ri_manager_001,ri_manager_001,0.82,North America,5000000.00,One reinstatement at 100% additional premium
TRT-000042,Williams-Patel,"Montes, Lopez and Turner",Surplus Share,United States Workers Compensation Surplus Share Treaty,Workers Compensation,United States,United States,588073.15,5000000,588073.15,10,10.00,Low,War Exclusion,Coverage includes regional catastrophe aggregation management.,treaty_management_platform,internal,2024-06-26,2025-06-26,Expired,2024-05-27T15:50:00.806970,2024-09-24T15:50:00.806970,reinsurance_analyst_001,ri_manager_001,0.44,United States,5000000.00,Not applicable / subject to treaty terms
TRT-000043,"Thomas, Miller and Waters",Parks Ltd,Catastrophe XOL,Global General Liability Catastrophe XOL Treaty,General Liability,Global,Global,8290811.57,100000000,8290811.57,75,75.00,High,Terrorism Exclusion,Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,restricted,2025-05-11,2026-05-11,Active,2025-04-11T15:50:00.806970,2025-08-09T15:50:00.806970,reinsurance_analyst_001,reinsurance_analyst_001,0.67,Global,100000000.00,One reinstatement at 100% additional premium
TRT-000044,Holmes Group,Obrien Ltd,Excess of Loss,North America Commercial Property Excess of Loss Treaty,Commercial Property,North America,North America,683385.97,10000000,683385.97,20,20.00,Low,"Terrorism Exclusion, Cyber Exclusion",Reinsurance agreement structured for multi-line protection.,reinsurance_admin_system,restricted,2025-06-14,2026-06-14,Active,2025-05-15T15:50:00.807970,2025-09-12T15:50:00.807970,reinsurance_analyst_001,reinsurance_analyst_001,0.29,North America,10000000.00,One reinstatement at 100% additional premium
TRT-000045,Harvey PLC,Thornton and Sons,Quota Share,North America General Liability Quota Share Treaty,General Liability,North America,North America,7460951.76,50000000,7460951.76,90,90.00,High,"Terrorism Exclusion, Pandemic Exclusion",Treaty includes catastrophe protection for North America.,ceded_reinsurance_portal,restricted,2026-01-25,2027-01-25,Active,2025-12-26T15:50:00.807970,2026-04-25T15:50:00.807970,reinsurance_analyst_001,ri_manager_001,0.53,North America,50000000.00,Not applicable / subject to treaty terms
TRT-000046,Crosby-Sutton,"Wagner, Klein and Hernandez",Catastrophe XOL,Global General Liability Catastrophe XOL Treaty,General Liability,Global,Global,8817495.59,100000000,8817495.59,10,10.00,High,"Cyber Exclusion, Nuclear Exclusion",Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,internal,2024-10-05,2025-10-05,Expired,2024-09-05T15:50:00.807970,2025-01-03T15:50:00.807970,reinsurance_analyst_001,ri_manager_001,0.76,Global,100000000.00,One reinstatement at 100% additional premium
TRT-000047,"Vargas, Miranda and Salinas",Sullivan Ltd,Quota Share,Global Cyber Quota Share Treaty,Cyber,Global,Global,11992251.19,50000000,11992251.19,30,30.00,Medium,"Pandemic Exclusion, Terrorism Exclusion",Coverage includes regional catastrophe aggregation management.,reinsurance_admin_system,internal,2025-01-12,2026-01-12,Expired,2024-12-13T15:50:00.807970,2025-04-12T15:50:00.807970,reinsurance_analyst_001,ri_manager_001,0.38,Global,50000000.00,Not applicable / subject to treaty terms
TRT-000048,Johnson-Smith,Miller-Glover,Surplus Share,Southeast US Workers Compensation Surplus Share Treaty,Workers Compensation,Southeast US,Southeast US,13053474.46,100000000,13053474.46,20,20.00,Medium,"Cyber Exclusion, Terrorism Exclusion",Treaty designed to reduce retained underwriting volatility.,reinsurance_admin_system,restricted,2023-10-18,2024-10-17,Expired,2023-09-18T15:50:00.807970,2024-01-16T15:50:00.807970,ri_manager_001,reinsurance_analyst_001,0.61,Southeast US,100000000.00,Not applicable / subject to treaty terms
TRT-000049,Myers LLC,Campbell Inc,Catastrophe XOL,North America Commercial Property Catastrophe XOL Treaty,Commercial Property,North America,North America,1223926.93,5000000,1223926.93,40,40.00,Medium,"Pandemic Exclusion, Cyber Exclusion",Treaty includes catastrophe protection for North America.,reinsurance_admin_system,confidential,2023-08-12,2024-08-11,Expired,2023-07-13T15:50:00.808970,2023-11-10T15:50:00.808970,ri_manager_001,reinsurance_analyst_001,0.82,North America,5000000.00,One reinstatement at 100% additional premium
TRT-000050,Morgan-Ibarra,Jefferson and Sons,Surplus Share,North America Workers Compensation Surplus Share Treaty,Workers Compensation,North America,North America,16888312.45,100000000,16888312.45,50,50.00,Medium,Nuclear Exclusion,Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,internal,2025-07-10,2026-07-10,Active,2025-06-10T15:50:00.808970,2025-10-08T15:50:00.808970,reinsurance_analyst_001,reinsurance_analyst_001,0.44,North America,100000000.00,Not applicable / subject to treaty terms
TRT-000051,Foster and Sons,Henson LLC,Catastrophe XOL,Global Commercial Auto Catastrophe XOL Treaty,Commercial Auto,Global,Global,5067552.65,25000000,5067552.65,50,50.00,High,War Exclusion,Treaty designed to reduce retained underwriting volatility.,ceded_reinsurance_portal,internal,2023-08-28,2024-08-27,Expired,2023-07-29T15:50:00.808970,2023-11-26T15:50:00.808970,ri_manager_001,ri_manager_001,0.67,Global,25000000.00,One reinstatement at 100% additional premium
TRT-000052,Wallace LLC,Mason Ltd,Quota Share,Global Workers Compensation Quota Share Treaty,Workers Compensation,Global,Global,936623.86,5000000,936623.86,50,50.00,Low,"Pandemic Exclusion, Cyber Exclusion",Treaty includes catastrophe protection for Global.,treaty_management_platform,confidential,2023-08-11,2024-08-10,Expired,2023-07-12T15:50:00.808970,2023-11-09T15:50:00.808970,ri_manager_001,ri_manager_001,0.29,Global,5000000.00,Not applicable / subject to treaty terms
TRT-000053,"Peterson, Ramirez and Miller",Reed-Valencia,Excess of Loss,Global General Liability Excess of Loss Treaty,General Liability,Global,Global,2080731.28,10000000,2080731.28,30,30.00,Low,"War Exclusion, Cyber Exclusion",Reinsurance agreement structured for multi-line protection.,treaty_management_platform,internal,2024-07-13,2025-07-13,Expired,2024-06-13T15:50:00.808970,2024-10-11T15:50:00.808970,reinsurance_analyst_001,reinsurance_analyst_001,0.53,Global,10000000.00,One reinstatement at 100% additional premium
TRT-000054,"Brewer, James and Mcintosh",Black-Harrell,Surplus Share,North America Commercial Auto Surplus Share Treaty,Commercial Auto,North America,North America,8378423.23,50000000,8378423.23,10,10.00,Medium,Terrorism Exclusion,Treaty designed to reduce retained underwriting volatility.,treaty_management_platform,restricted,2025-06-13,2026-06-13,Active,2025-05-14T15:50:00.808970,2025-09-11T15:50:00.808970,reinsurance_analyst_001,reinsurance_analyst_001,0.76,North America,50000000.00,Not applicable / subject to treaty terms
TRT-000055,Young PLC,"Smith, Simpson and Powell",Quota Share,Global General Liability Quota Share Treaty,General Liability,Global,Global,3207575.90,25000000,3207575.90,40,40.00,Medium,"Cyber Exclusion, War Exclusion",Treaty includes catastrophe protection for Global.,treaty_management_platform,confidential,2026-02-14,2027-02-14,Active,2026-01-15T15:50:00.809970,2026-05-15T15:50:00.809970,ri_manager_001,reinsurance_analyst_001,0.38,Global,25000000.00,Not applicable / subject to treaty terms
