cat_event_id,event_id,event_name,event_type,severity,region,estimated_loss,expected_claims_volume,event_summary,source_system,data_sensitivity,event_date,event_timestamp,ingestion_timestamp,created_by,country,estimated_insured_loss,estimated_economic_loss,exposure_count,severity_score,event_status,estimated_loss_amount,affected_claim_count
CAT-000013,CAT-000013,Winter Storm Event 13,Winter Storm,Moderate,Florida,21430659.97,346,CAT event caused widespread operational disruption across Florida.,exposure_aggregation_system,internal,2024-07-14,2024-07-14T15:50:01.371366,2024-07-15T05:50:01.371366,cat_monitoring_system,USA,17000000,30600000.0,4000,0.53,Active,21430659.97,346
CAT-000014,CAT-000014,Earthquake Event 14,Earthquake,Moderate,Colorado,21490074.23,338,CAT event caused widespread operational disruption across Colorado.,cat_model_platform,internal,2025-01-15,2025-01-15T15:50:01.371366,2025-01-17T05:50:01.371366,cat_monitoring_system,USA,18000000,32400000.0,4250,0.76,Monitoring,21490074.23,338
CAT-000015,CAT-000015,Flood Event 15,Flood,Low,Colorado,4160607.2,198,Low severity Flood impacted Colorado.,weather_event_feed,confidential,2025-08-11,2025-08-11T15:50:01.371366,2025-08-12T17:50:01.371366,cat_monitoring_system,USA,19000000,34200000.0,4500,0.38,Closed,4160607.2,198
CAT-000016,CAT-000016,Winter Storm Event 16,Winter Storm,Moderate,Colorado,5282566.24,783,Insured losses expected to increase following Winter Storm event.,exposure_aggregation_system,internal,2025-10-23,2025-10-23T15:50:01.371366,2025-10-25T09:50:01.371366,cat_monitoring_system,USA,20000000,36000000.0,4750,0.61,Active,5282566.24,783
CAT-000017,CAT-000017,Flood Event 17,Flood,Low,California,4943416.18,62,CAT event caused widespread operational disruption across California.,weather_event_feed,internal,2023-12-17,2023-12-17T15:50:01.371366,2023-12-17T23:50:01.371366,cat_monitoring_system,USA,21000000,37800000.0,5000,0.82,Monitoring,4943416.18,62
CAT-000018,CAT-000018,Winter Storm Event 18,Winter Storm,High,Florida,60578173.62,4791,High severity Winter Storm impacted Florida.,cat_model_platform,internal,2025-02-16,2025-02-16T15:50:01.371366,2025-02-17T04:50:01.371366,cat_monitoring_system,USA,22000000,39600000.0,5250,0.44,Closed,60578173.62,4791
CAT-000019,CAT-000019,Tornado Event 19,Tornado,High,California,108108961.18,2074,Insured losses expected to increase following Tornado event.,exposure_aggregation_system,internal,2025-08-09,2025-08-09T15:50:01.371366,2025-08-11T06:50:01.371366,cat_monitoring_system,USA,23000000,41400000.0,5500,0.67,Active,108108961.18,2074
CAT-000020,CAT-000020,Hailstorm Event 20,Hailstorm,Low,Florida,3872920.76,262,Low severity Hailstorm impacted Florida.,exposure_aggregation_system,internal,2025-02-27,2025-02-27T15:50:01.371366,2025-03-01T02:50:01.371366,cat_monitoring_system,USA,24000000,43200000.0,5750,0.29,Monitoring,3872920.76,262
CAT-000021,CAT-000021,Hurricane Event 21,Hurricane,Extreme,Louisiana,368292538.27,10530,Exposure monitoring initiated after Hurricane activity in Louisiana.,weather_event_feed,confidential,2024-09-20,2024-09-20T15:50:01.371366,2024-09-20T18:50:01.371366,cat_monitoring_system,USA,25000000,45000000.0,6000,0.53,Closed,368292538.27,10530
CAT-000022,CAT-000022,Hailstorm Event 22,Hailstorm,Extreme,Louisiana,378725936.66,24049,Extreme severity Hailstorm impacted Louisiana.,exposure_aggregation_system,confidential,2024-01-12,2024-01-12T15:50:01.371366,2024-01-13T03:50:01.371366,cat_monitoring_system,USA,26000000,46800000.0,6250,0.76,Active,378725936.66,24049
CAT-000023,CAT-000023,Winter Storm Event 23,Winter Storm,Extreme,California,999735095.81,12451,Exposure monitoring initiated after Winter Storm activity in California.,weather_event_feed,internal,2026-03-28,2026-03-28T15:50:01.371366,2026-03-28T19:50:01.371366,cat_monitoring_system,USA,27000000,48600000.0,6500,0.38,Monitoring,999735095.81,12451
CAT-000024,CAT-000024,Winter Storm Event 24,Winter Storm,Low,Colorado,3209550.62,282,CAT event caused widespread operational disruption across Colorado.,cat_model_platform,internal,2025-03-24,2025-03-24T15:50:01.371366,2025-03-25T02:50:01.371366,cat_monitoring_system,USA,28000000,50400000.0,6750,0.61,Closed,3209550.62,282
CAT-000025,CAT-000025,Earthquake Event 25,Earthquake,Low,North Carolina,4646977.48,215,Claims surge anticipated due to severe weather conditions.,cat_model_platform,confidential,2024-10-19,2024-10-19T15:50:01.371366,2024-10-20T02:50:01.371366,cat_monitoring_system,USA,29000000,52200000.0,7000,0.82,Active,4646977.48,215
CAT-000026,CAT-000026,Hurricane Event 26,Hurricane,Moderate,Florida,22571631.95,1358,Exposure monitoring initiated after Hurricane activity in Florida.,weather_event_feed,confidential,2024-05-17,2024-05-17T15:50:01.371366,2024-05-18T10:50:01.371366,cat_monitoring_system,USA,30000000,54000000.0,7250,0.44,Monitoring,22571631.95,1358
CAT-000027,CAT-000027,Earthquake Event 27,Earthquake,Low,California,3832512.08,213,CAT event caused widespread operational disruption across California.,cat_model_platform,confidential,2023-12-08,2023-12-08T15:50:01.371366,2023-12-09T19:50:01.371366,cat_monitoring_system,USA,31000000,55800000.0,7500,0.67,Closed,3832512.08,213
CAT-000028,CAT-000028,Hurricane Event 28,Hurricane,High,North Carolina,81484937.2,4577,Claims surge anticipated due to severe weather conditions.,weather_event_feed,internal,2025-06-14,2025-06-14T15:50:01.371366,2025-06-15T07:50:01.371366,cat_monitoring_system,USA,32000000,57600000.0,7750,0.29,Active,81484937.2,4577
CAT-000029,CAT-000029,Earthquake Event 29,Earthquake,Low,Oklahoma,1825577.78,289,Exposure monitoring initiated after Earthquake activity in Oklahoma.,exposure_aggregation_system,internal,2025-06-07,2025-06-07T15:50:01.371366,2025-06-09T08:50:01.371366,cat_monitoring_system,USA,33000000,59400000.0,8000,0.53,Monitoring,1825577.78,289
CAT-000030,CAT-000030,Flood Event 30,Flood,Extreme,California,387459296.12,8552,Extreme severity Flood impacted California.,weather_event_feed,confidential,2026-01-30,2026-01-30T15:50:01.371366,2026-01-30T18:50:01.371366,cat_monitoring_system,USA,34000000,61200000.0,8250,0.76,Closed,387459296.12,8552
CAT-000031,CAT-000031,Flood Event 31,Flood,Extreme,North Carolina,830902810.61,19534,Exposure monitoring initiated after Flood activity in North Carolina.,weather_event_feed,confidential,2024-01-03,2024-01-03T15:50:01.371366,2024-01-05T02:50:01.371366,cat_monitoring_system,USA,35000000,63000000.0,8500,0.38,Active,830902810.61,19534
CAT-000032,CAT-000032,Hailstorm Event 32,Hailstorm,Low,North Carolina,2968079.49,145,Exposure monitoring initiated after Hailstorm activity in North Carolina.,weather_event_feed,internal,2025-11-11,2025-11-11T15:50:01.371366,2025-11-13T05:50:01.371366,cat_monitoring_system,USA,36000000,64800000.0,8750,0.61,Monitoring,2968079.49,145
CAT-000033,CAT-000033,Flood Event 33,Flood,High,Georgia,136520049.78,4185,Insured losses expected to increase following Flood event.,weather_event_feed,confidential,2025-08-07,2025-08-07T15:50:01.371366,2025-08-07T20:50:01.371366,cat_monitoring_system,USA,37000000,66600000.0,9000,0.82,Closed,136520049.78,4185
CAT-000034,CAT-000034,Tornado Event 34,Tornado,Low,Florida,854441.66,241,Low severity Tornado impacted Florida.,exposure_aggregation_system,confidential,2024-12-12,2024-12-12T15:50:01.371366,2024-12-14T03:50:01.371366,cat_monitoring_system,USA,38000000,68400000.0,9250,0.44,Active,854441.66,241
CAT-000035,CAT-000035,Hurricane Event 35,Hurricane,Moderate,California,18468022.67,366,CAT event caused widespread operational disruption across California.,exposure_aggregation_system,internal,2025-10-05,2025-10-05T15:50:01.371366,2025-10-07T00:50:01.371366,cat_monitoring_system,USA,39000000,70200000.0,9500,0.67,Monitoring,18468022.67,366
CAT-000036,CAT-000036,Flood Event 36,Flood,Extreme,California,342113177.97,18118,Exposure monitoring initiated after Flood activity in California.,cat_model_platform,confidential,2025-08-31,2025-08-31T15:50:01.371366,2025-09-01T01:50:01.371366,cat_monitoring_system,USA,40000000,72000000.0,9750,0.29,Closed,342113177.97,18118
CAT-000037,CAT-000037,Earthquake Event 37,Earthquake,Moderate,North Carolina,5110813.42,312,Insured losses expected to increase following Earthquake event.,weather_event_feed,confidential,2025-05-25,2025-05-25T15:50:01.371366,2025-05-27T11:50:01.371366,cat_monitoring_system,USA,41000000,73800000.0,10000,0.53,Active,5110813.42,312
CAT-000038,CAT-000038,Tornado Event 38,Tornado,Moderate,California,9645428.71,533,Moderate severity Tornado impacted California.,weather_event_feed,confidential,2025-08-04,2025-08-04T15:50:01.371366,2025-08-05T04:50:01.371366,cat_monitoring_system,USA,42000000,75600000.0,10250,0.76,Monitoring,9645428.71,533
CAT-000039,CAT-000039,Hailstorm Event 39,Hailstorm,High,California,99752919.85,6434,Claims surge anticipated due to severe weather conditions.,weather_event_feed,confidential,2025-07-08,2025-07-08T15:50:01.371366,2025-07-08T17:50:01.371366,cat_monitoring_system,USA,43000000,77400000.0,10500,0.38,Closed,99752919.85,6434
CAT-000040,CAT-000040,Tornado Event 40,Tornado,High,Louisiana,88648302.35,3975,Claims surge anticipated due to severe weather conditions.,exposure_aggregation_system,internal,2026-02-23,2026-02-23T15:50:01.371366,2026-02-24T11:50:01.371366,cat_monitoring_system,USA,44000000,79200000.0,10750,0.61,Active,88648302.35,3975
CAT-000041,CAT-000041,Earthquake Event 41,Earthquake,Extreme,Texas,995442751.76,10530,CAT event caused widespread operational disruption across Texas.,weather_event_feed,confidential,2025-08-19,2025-08-19T15:50:01.371366,2025-08-20T22:50:01.371366,cat_monitoring_system,USA,45000000,81000000.0,11000,0.82,Monitoring,995442751.76,10530
CAT-000042,CAT-000042,Hailstorm Event 42,Hailstorm,High,Florida,88396417.52,3405,Exposure monitoring initiated after Hailstorm activity in Florida.,weather_event_feed,internal,2024-12-05,2024-12-05T15:50:01.371366,2024-12-06T10:50:01.371366,cat_monitoring_system,USA,46000000,82800000.0,11250,0.44,Closed,88396417.52,3405
CAT-000043,CAT-000043,Flood Event 43,Flood,Low,Texas,4700550.16,58,Insured losses expected to increase following Flood event.,weather_event_feed,confidential,2026-04-20,2026-04-20T15:50:01.371366,2026-04-21T13:50:01.371366,cat_monitoring_system,USA,47000000,84600000.0,11500,0.67,Active,4700550.16,58
CAT-000044,CAT-000044,Earthquake Event 44,Earthquake,Extreme,Georgia,348670941.49,22793,Extreme severity Earthquake impacted Georgia.,cat_model_platform,internal,2025-05-19,2025-05-19T15:50:01.371366,2025-05-20T06:50:01.371366,cat_monitoring_system,USA,48000000,86400000.0,11750,0.29,Monitoring,348670941.49,22793
CAT-000045,CAT-000045,Hailstorm Event 45,Hailstorm,High,Florida,87996712.74,6975,Insured losses expected to increase following Hailstorm event.,exposure_aggregation_system,internal,2026-01-20,2026-01-20T15:50:01.371366,2026-01-20T18:50:01.371366,cat_monitoring_system,USA,49000000,88200000.0,12000,0.53,Closed,87996712.74,6975
CAT-000046,CAT-000046,Wildfire Event 46,Wildfire,Extreme,Texas,920700007.22,8564,Extreme severity Wildfire impacted Texas.,cat_model_platform,internal,2025-07-11,2025-07-11T15:50:01.371366,2025-07-13T07:50:01.371366,cat_monitoring_system,USA,50000000,90000000.0,12250,0.76,Active,920700007.22,8564
CAT-000047,CAT-000047,Tornado Event 47,Tornado,High,Georgia,120903430.94,4226,Claims surge anticipated due to severe weather conditions.,weather_event_feed,confidential,2025-08-03,2025-08-03T15:50:01.371366,2025-08-04T02:50:01.371366,cat_monitoring_system,USA,51000000,91800000.0,12500,0.38,Monitoring,120903430.94,4226
CAT-000048,CAT-000048,Hurricane Event 48,Hurricane,High,Louisiana,120274873.82,4482,Insured losses expected to increase following Hurricane event.,exposure_aggregation_system,internal,2025-04-09,2025-04-09T15:50:01.371366,2025-04-11T00:50:01.371366,cat_monitoring_system,USA,52000000,93600000.0,12750,0.61,Closed,120274873.82,4482
CAT-000049,CAT-000049,Flood Event 49,Flood,High,Florida,29391640.33,2810,Insured losses expected to increase following Flood event.,weather_event_feed,confidential,2024-10-19,2024-10-19T15:50:01.371366,2024-10-20T07:50:01.371366,cat_monitoring_system,USA,53000000,95400000.0,13000,0.82,Active,29391640.33,2810
CAT-000050,CAT-000050,Earthquake Event 50,Earthquake,Extreme,Georgia,717996143.21,7755,Insured losses expected to increase following Earthquake event.,cat_model_platform,internal,2024-01-15,2024-01-15T15:50:01.371366,2024-01-15T21:50:01.371366,cat_monitoring_system,USA,54000000,97200000.0,13250,0.44,Monitoring,717996143.21,7755
