claim_id,policy_id,insured_name,line_of_business,loss_date,loss_type,claim_status,reserve_amount,paid_amount,adjuster_notes,litigation_flag,pii_flag,data_sensitivity,source_system,created_timestamp,updated_timestamp,created_by,updated_by
CLM-000013,POL-000237,Davis Inc,Commercial Auto,2026-02-19,Fire,In Review,169875.86,133458.18,Coverage review in progress. Adjuster evaluating damages related to Fire.,False,True,restricted,claims_core_system,2026-03-01T15:49:58.115896,2026-06-08T15:49:58.115896,claims_manager_001,claims_adjuster_001
CLM-000014,POL-000083,Fernandez-Gordon,Commercial Auto,2024-12-03,Water Damage,Litigation,206619.18,37914.35,Pending supervisor review due to complexity of Water Damage claim.,False,False,restricted,fnol_portal,2024-12-09T15:49:58.115896,2025-01-25T15:49:58.115896,claims_adjuster_002,claims_manager_001
CLM-000015,POL-000074,Mills-Walker,General Liability,2024-04-27,Workers Compensation,Denied,54659.18,32295.8,Coverage review in progress. Adjuster evaluating damages related to Workers Compensation.,False,False,confidential,adjuster_workbench,2024-05-05T15:49:58.115896,2024-06-26T15:49:58.115896,claims_adjuster_002,claims_manager_001
CLM-000016,POL-000071,Carey Group,Workers Compensation,2025-07-27,Water Damage,In Review,32467.22,18214.82,Pending supervisor review due to complexity of Water Damage claim.,False,True,confidential,adjuster_workbench,2025-08-03T15:49:58.115896,2025-10-19T15:49:58.115896,claims_adjuster_002,claims_manager_001
CLM-000017,POL-000170,"Romero, Tran and Rivera",Commercial Property,2025-03-13,Fire,Open,398381.05,125088.1,Claim file updated after inspection. Current status: Open.,False,False,confidential,claims_core_system,2025-03-19T15:49:58.115896,2025-06-28T15:49:58.115896,claims_adjuster_001,claims_adjuster_002
CLM-000018,POL-000180,"Richards, Mccarthy and Washington",Commercial Auto,2025-01-18,Workers Compensation,Closed,288082.35,36409.44,Coverage review in progress. Adjuster evaluating damages related to Workers Compensation.,False,False,confidential,claims_core_system,2025-01-28T15:49:58.115896,2025-05-27T15:49:58.115896,claims_manager_001,claims_adjuster_001
CLM-000019,POL-000013,"Davis, Rodriguez and Davis",Commercial Auto,2025-10-05,General Liability,In Review,401283.2,242534.61,Claim file updated after inspection. Current status: In Review.,False,True,internal,claims_core_system,2025-10-15T15:49:58.115896,2025-12-09T15:49:58.115896,claims_manager_001,claims_adjuster_001
CLM-000020,POL-000264,Johnson-Steele,Commercial Auto,2025-08-25,General Liability,Litigation,232871.47,227366.86,Initial review completed for General Liability. Claim status is currently Litigation.,True,False,restricted,claims_core_system,2025-08-26T15:49:58.115896,2025-09-07T15:49:58.115896,claims_adjuster_001,claims_adjuster_002
CLM-000021,POL-000072,"Hughes, Moreno and Kelley",Workers Compensation,2025-05-18,Workers Compensation,Litigation,45991.13,29981.5,Coverage review in progress. Adjuster evaluating damages related to Workers Compensation.,True,True,internal,adjuster_workbench,2025-05-22T15:49:58.115896,2025-08-31T15:49:58.115896,claims_manager_001,claims_adjuster_001
CLM-000022,POL-000126,Williams Group,Commercial Property,2025-05-15,Theft,Litigation,327037.62,233403.2,Claim file updated after inspection. Current status: Litigation.,True,True,restricted,adjuster_workbench,2025-05-19T15:49:58.119355,2025-07-29T15:49:58.119355,claims_manager_001,claims_adjuster_002
CLM-000023,POL-000108,Brown-Thompson,Commercial Property,2025-04-28,General Liability,Closed,104098.96,91648.42,Pending supervisor review due to complexity of General Liability claim.,False,True,restricted,fnol_portal,2025-05-05T15:49:58.119355,2025-08-16T15:49:58.119355,claims_adjuster_001,claims_manager_001
CLM-000024,POL-000131,Rice-Miller,Commercial Auto,2024-11-19,Water Damage,Closed,305069.4,233817.43,Pending supervisor review due to complexity of Water Damage claim.,False,False,internal,fnol_portal,2024-11-27T15:49:58.119355,2025-03-01T15:49:58.119355,claims_adjuster_002,claims_adjuster_001
CLM-000025,POL-000022,Hebert-Richardson,General Liability,2023-11-20,Water Damage,Pending Documents,367860.18,30543.59,Pending supervisor review due to complexity of Water Damage claim.,False,True,confidential,adjuster_workbench,2023-11-29T15:49:58.119355,2023-12-02T15:49:58.119355,claims_manager_001,claims_manager_001
CLM-000026,POL-000077,"Rice, Leonard and Brewer",General Liability,2023-11-20,Theft,In Review,171352.58,23839.45,Pending supervisor review due to complexity of Theft claim.,False,True,restricted,claims_core_system,2023-11-28T15:49:58.119355,2024-02-07T15:49:58.119355,claims_manager_001,claims_manager_001
CLM-000027,POL-000023,Gates Inc,General Liability,2024-02-21,Windstorm,Litigation,407089.97,281491.15,Initial review completed for Windstorm. Claim status is currently Litigation.,False,False,internal,adjuster_workbench,2024-02-24T15:49:58.119355,2024-04-16T15:49:58.119355,claims_adjuster_001,claims_adjuster_001
CLM-000028,POL-000187,"Schaefer, Pham and Garcia",Umbrella,2025-01-18,General Liability,Litigation,296720.12,191567.6,Pending supervisor review due to complexity of General Liability claim.,True,False,confidential,adjuster_workbench,2025-01-25T15:49:58.119355,2025-02-14T15:49:58.119355,claims_adjuster_002,claims_adjuster_002
CLM-000029,POL-000179,Wyatt PLC,Commercial Property,2025-06-17,Workers Compensation,Pending Documents,97831.54,31220.82,Initial review completed for Workers Compensation. Claim status is currently Pending Documents.,False,False,restricted,claims_core_system,2025-06-22T15:49:58.119355,2025-06-26T15:49:58.119355,claims_manager_001,claims_adjuster_001
CLM-000030,POL-000249,Cardenas-Shepherd,General Liability,2025-10-31,Auto Liability,Denied,38180.05,19329.16,Initial review completed for Auto Liability. Claim status is currently Denied.,False,False,restricted,adjuster_workbench,2025-11-03T15:49:58.119355,2025-11-16T15:49:58.119355,claims_manager_001,claims_adjuster_002
CLM-000031,POL-000260,Whitney and Sons,Workers Compensation,2026-01-19,Theft,Open,234896.54,92934.13,Claim file updated after inspection. Current status: Open.,False,False,confidential,fnol_portal,2026-01-24T15:49:58.119355,2026-05-02T15:49:58.119355,claims_adjuster_002,claims_manager_001
CLM-000032,POL-000232,Gordon-Rodriguez,General Liability,2025-08-19,Windstorm,Pending Documents,5470.18,3206.4,Claim file updated after inspection. Current status: Pending Documents.,False,True,internal,claims_core_system,2025-08-21T15:49:58.119355,2025-09-16T15:49:58.119355,claims_adjuster_002,claims_adjuster_001
CLM-000033,POL-000141,Phillips LLC,Commercial Property,2025-04-27,Workers Compensation,Litigation,393762.55,227009.79,Claim file updated after inspection. Current status: Litigation.,False,False,restricted,adjuster_workbench,2025-05-02T15:49:58.119355,2025-08-22T15:49:58.119355,claims_manager_001,claims_adjuster_002
CLM-000034,POL-000183,Rich-Stevens,Commercial Auto,2025-12-06,Workers Compensation,Litigation,252845.82,51667.41,Pending supervisor review due to complexity of Workers Compensation claim.,True,True,confidential,fnol_portal,2025-12-11T15:49:58.119355,2026-02-01T15:49:58.119355,claims_adjuster_001,claims_adjuster_002
CLM-000035,POL-000069,Macias-Richardson,Workers Compensation,2025-09-30,Theft,Litigation,111146.52,108720.37,Additional documentation requested from insured regarding Theft.,False,False,internal,adjuster_workbench,2025-10-05T15:49:58.119355,2025-11-18T15:49:58.119355,claims_manager_001,claims_adjuster_002
CLM-000036,POL-000008,"Miller, Perry and Bradley",Commercial Auto,2025-01-18,Fire,Litigation,269408.61,133621.29,Claim file updated after inspection. Current status: Litigation.,False,False,restricted,adjuster_workbench,2025-01-28T15:49:58.120854,2025-02-27T15:49:58.120854,claims_manager_001,claims_adjuster_002
CLM-000037,POL-000032,"Rios, Reed and Peterson",Commercial Property,2026-01-17,General Liability,Pending Documents,273990.05,205706.17,Coverage review in progress. Adjuster evaluating damages related to General Liability.,False,True,restricted,fnol_portal,2026-01-23T15:49:58.120854,2026-04-03T15:49:58.120854,claims_adjuster_001,claims_adjuster_002
CLM-000038,POL-000080,Allen-Randall,Workers Compensation,2026-03-31,General Liability,Closed,197693.15,100068.97,Coverage review in progress. Adjuster evaluating damages related to General Liability.,False,True,restricted,adjuster_workbench,2026-04-05T15:49:58.120854,2026-04-26T15:49:58.120854,claims_adjuster_002,claims_adjuster_001
CLM-000039,POL-000067,Lewis PLC,Workers Compensation,2025-04-20,Theft,Denied,401190.34,293344.86,Coverage review in progress. Adjuster evaluating damages related to Theft.,False,False,restricted,claims_core_system,2025-04-25T15:49:58.120854,2025-08-16T15:49:58.120854,claims_adjuster_001,claims_adjuster_002
CLM-000040,POL-000136,"King, Montoya and Barr",General Liability,2024-03-03,Auto Liability,Denied,289656.77,273642.45,Pending supervisor review due to complexity of Auto Liability claim.,False,False,restricted,fnol_portal,2024-03-03T15:49:58.120854,2024-06-26T15:49:58.120854,claims_adjuster_001,claims_manager_001
CLM-000041,POL-000235,"Dean, Collins and Pierce",Commercial Auto,2024-04-07,Theft,In Review,480354.43,172051.63,Additional documentation requested from insured regarding Theft.,False,False,confidential,claims_core_system,2024-04-07T15:49:58.121859,2024-06-07T15:49:58.121859,claims_adjuster_001,claims_adjuster_001
CLM-000042,POL-000068,"Martinez, Acevedo and Garcia",Umbrella,2026-04-04,General Liability,Denied,344321.59,131161.67,Initial review completed for General Liability. Claim status is currently Denied.,False,False,confidential,claims_core_system,2026-04-11T15:49:58.121859,2026-07-11T15:49:58.121859,claims_adjuster_001,claims_adjuster_002
CLM-000043,POL-000252,Ross-Baker,Commercial Property,2025-03-05,General Liability,Closed,369023.55,348696.84,Coverage review in progress. Adjuster evaluating damages related to General Liability.,False,True,confidential,claims_core_system,2025-03-09T15:49:58.121859,2025-06-17T15:49:58.121859,claims_adjuster_002,claims_adjuster_001
CLM-000044,POL-000024,Bennett-Davis,Umbrella,2025-11-06,General Liability,In Review,52110.08,34697.03,Claim file updated after inspection. Current status: In Review.,False,False,confidential,adjuster_workbench,2025-11-06T15:49:58.121859,2025-11-16T15:49:58.121859,claims_manager_001,claims_adjuster_002
CLM-000045,POL-000198,"Hanson, Griffin and Zavala",Commercial Auto,2024-04-18,Water Damage,Open,312720.28,18582.87,Additional documentation requested from insured regarding Water Damage.,False,True,internal,claims_core_system,2024-04-27T15:49:58.121859,2024-07-02T15:49:58.121859,claims_adjuster_002,claims_adjuster_001
CLM-000046,POL-000099,Rodriguez-Williams,General Liability,2025-06-17,Fire,Closed,369138.08,303348.96,Initial review completed for Fire. Claim status is currently Closed.,False,True,internal,fnol_portal,2025-06-21T15:49:58.121859,2025-07-19T15:49:58.121859,claims_adjuster_001,claims_manager_001
CLM-000047,POL-000116,Moore-Douglas,Commercial Auto,2024-08-26,Workers Compensation,Open,145229.95,99399.7,Additional documentation requested from insured regarding Workers Compensation.,False,False,confidential,claims_core_system,2024-08-30T15:49:58.121859,2024-12-06T15:49:58.121859,claims_adjuster_002,claims_manager_001
CLM-000048,POL-000261,Wright Group,Workers Compensation,2024-05-20,Auto Liability,In Review,240571.48,217244.48,Initial review completed for Auto Liability. Claim status is currently In Review.,False,True,internal,claims_core_system,2024-05-30T15:49:58.121859,2024-08-22T15:49:58.121859,claims_adjuster_001,claims_adjuster_002
CLM-000049,POL-000258,Mcdowell Inc,Commercial Property,2025-04-15,Water Damage,Pending Documents,313323.22,208372.64,Initial review completed for Water Damage. Claim status is currently Pending Documents.,False,False,confidential,adjuster_workbench,2025-04-15T15:49:58.121859,2025-04-26T15:49:58.121859,claims_adjuster_002,claims_manager_001
CLM-000050,POL-000271,Miller-Ross,Workers Compensation,2025-12-14,Property Damage,Litigation,153262.09,122253.48,Coverage review in progress. Adjuster evaluating damages related to Property Damage.,False,True,internal,fnol_portal,2025-12-16T15:49:58.121859,2025-12-23T15:49:58.121859,claims_adjuster_001,claims_adjuster_001
CLM-000051,POL-000008,"Schmitt, Diaz and Gonzalez",General Liability,2025-01-20,Hail,Closed,237995.34,45834.63,Initial review completed for Hail. Claim status is currently Closed.,False,False,confidential,adjuster_workbench,2025-01-26T15:49:58.121859,2025-04-04T15:49:58.121859,claims_adjuster_002,claims_adjuster_002
CLM-000052,POL-000255,Cooper-Savage,Commercial Property,2025-03-11,Windstorm,Closed,8284.46,1066.5,Pending supervisor review due to complexity of Windstorm claim.,False,False,restricted,claims_core_system,2025-03-13T15:49:58.121859,2025-04-01T15:49:58.121859,claims_adjuster_002,claims_adjuster_001
CLM-000053,POL-000186,Cooper-Jackson,General Liability,2023-12-23,Water Damage,Litigation,447780.4,26921.13,Claim file updated after inspection. Current status: Litigation.,True,False,internal,claims_core_system,2024-01-02T15:49:58.121859,2024-04-11T15:49:58.121859,claims_manager_001,claims_manager_001
CLM-000054,POL-000107,"Stewart, Green and Arnold",Commercial Auto,2025-01-06,Auto Liability,Denied,371410.92,22836.57,Coverage review in progress. Adjuster evaluating damages related to Auto Liability.,False,False,restricted,claims_core_system,2025-01-10T15:49:58.121859,2025-02-21T15:49:58.121859,claims_adjuster_001,claims_adjuster_001
CLM-000055,POL-000177,Wagner Group,Workers Compensation,2025-09-21,Property Damage,Litigation,199622.36,32916.46,Pending supervisor review due to complexity of Property Damage claim.,True,False,restricted,adjuster_workbench,2025-09-24T15:49:58.121859,2026-01-06T15:49:58.121859,claims_adjuster_002,claims_adjuster_002
CLM-000056,POL-000219,Johnson LLC,General Liability,2026-02-10,Hail,Open,382670.55,254939.74,Claim file updated after inspection. Current status: Open.,False,True,internal,claims_core_system,2026-02-17T15:49:58.121859,2026-06-01T15:49:58.121859,claims_adjuster_001,claims_manager_001
CLM-000057,POL-000151,Whitehead-Smith,Umbrella,2025-06-18,Fire,In Review,190223.28,131960.39,Additional documentation requested from insured regarding Fire.,False,False,restricted,fnol_portal,2025-06-18T15:49:58.121859,2025-07-23T15:49:58.121859,claims_adjuster_002,claims_manager_001
CLM-000058,POL-000241,Williams Ltd,Commercial Auto,2025-10-05,Theft,Open,365069.98,240083.18,Initial review completed for Theft. Claim status is currently Open.,False,True,restricted,fnol_portal,2025-10-13T15:49:58.121859,2025-12-29T15:49:58.121859,claims_adjuster_001,claims_adjuster_001
CLM-000059,POL-000088,Morgan-Meyer,Workers Compensation,2024-04-02,General Liability,In Review,491558.65,60925.63,Additional documentation requested from insured regarding General Liability.,False,False,confidential,claims_core_system,2024-04-09T15:49:58.121859,2024-05-25T15:49:58.121859,claims_manager_001,claims_adjuster_001
CLM-000060,POL-000024,Perez PLC,Workers Compensation,2024-01-14,Property Damage,Open,269424.04,61112.45,Additional documentation requested from insured regarding Property Damage.,False,True,confidential,claims_core_system,2024-01-24T15:49:58.121859,2024-04-12T15:49:58.121859,claims_manager_001,claims_adjuster_002
CLM-000061,POL-000150,Jackson Ltd,General Liability,2024-01-04,Windstorm,Litigation,306445.97,87494.7,Additional documentation requested from insured regarding Windstorm.,True,False,confidential,adjuster_workbench,2024-01-11T15:49:58.121859,2024-02-20T15:49:58.121859,claims_adjuster_001,claims_manager_001
CLM-000062,POL-000151,"Thompson, Thompson and Cohen",Commercial Property,2026-03-05,Theft,Litigation,225722.87,213229.39,Coverage review in progress. Adjuster evaluating damages related to Theft.,True,True,internal,adjuster_workbench,2026-03-09T15:49:58.121859,2026-03-13T15:49:58.121859,claims_adjuster_001,claims_adjuster_001
CLM-000063,POL-000005,"Carter, Wheeler and Durham",Umbrella,2025-09-14,Water Damage,Open,28076.38,3314.32,Initial review completed for Water Damage. Claim status is currently Open.,False,False,restricted,claims_core_system,2025-09-20T15:49:58.121859,2026-01-08T15:49:58.121859,claims_manager_001,claims_adjuster_001
CLM-000064,POL-000025,"Parker, Carter and Johnson",Commercial Property,2025-02-21,Workers Compensation,Litigation,227497.26,25665.34,Initial review completed for Workers Compensation. Claim status is currently Litigation.,False,False,internal,adjuster_workbench,2025-02-21T15:49:58.121859,2025-03-13T15:49:58.121859,claims_adjuster_002,claims_manager_001
CLM-000065,POL-000056,Vasquez Ltd,Umbrella,2024-01-18,Property Damage,Litigation,172892.64,154814.49,Coverage review in progress. Adjuster evaluating damages related to Property Damage.,True,False,confidential,fnol_portal,2024-01-28T15:49:58.121859,2024-03-08T15:49:58.121859,claims_manager_001,claims_adjuster_001
CLM-000066,POL-000071,Hart PLC,General Liability,2025-04-27,Windstorm,Litigation,148372.16,49867.63,Pending supervisor review due to complexity of Windstorm claim.,True,False,internal,adjuster_workbench,2025-05-04T15:49:58.121859,2025-07-22T15:49:58.121859,claims_adjuster_001,claims_manager_001
CLM-000067,POL-000224,Roberts Group,General Liability,2025-05-26,Theft,Litigation,73515.24,55247.05,Initial review completed for Theft. Claim status is currently Litigation.,True,False,confidential,claims_core_system,2025-05-26T15:49:58.121859,2025-07-31T15:49:58.121859,claims_adjuster_002,claims_adjuster_002
CLM-000068,POL-000035,Jenkins PLC,Commercial Auto,2025-07-14,Hail,Closed,377844.84,240195.65,Pending supervisor review due to complexity of Hail claim.,False,True,internal,claims_core_system,2025-07-24T15:49:58.121859,2025-07-30T15:49:58.121859,claims_manager_001,claims_manager_001
CLM-000069,POL-000172,Stephenson-Anderson,Commercial Auto,2025-03-30,Workers Compensation,Litigation,463205.79,32883.72,Initial review completed for Workers Compensation. Claim status is currently Litigation.,True,True,internal,adjuster_workbench,2025-04-07T15:49:58.121859,2025-06-20T15:49:58.121859,claims_adjuster_001,claims_manager_001
CLM-000070,POL-000045,Reese-Guerra,Commercial Auto,2025-01-04,Hail,Open,350242.92,66101.69,Initial review completed for Hail. Claim status is currently Open.,False,False,restricted,fnol_portal,2025-01-14T15:49:58.121859,2025-04-21T15:49:58.121859,claims_adjuster_002,claims_adjuster_002
CLM-000071,POL-000237,"Smith, Meadows and Rodriguez",Commercial Auto,2025-02-21,Windstorm,Open,432213.56,299976.4,Coverage review in progress. Adjuster evaluating damages related to Windstorm.,False,False,restricted,claims_core_system,2025-02-28T15:49:58.121859,2025-06-28T15:49:58.121859,claims_adjuster_001,claims_adjuster_002
CLM-000072,POL-000065,"Daniels, Nichols and Terry",Commercial Property,2025-09-16,Property Damage,Litigation,463183.21,355653.95,Pending supervisor review due to complexity of Property Damage claim.,True,False,restricted,fnol_portal,2025-09-16T15:49:58.121859,2026-01-09T15:49:58.121859,claims_adjuster_001,claims_manager_001
CLM-000073,POL-000295,"Williams, Garcia and Harper",General Liability,2025-01-31,Workers Compensation,Litigation,226469.29,205695.75,Additional documentation requested from insured regarding Workers Compensation.,False,True,internal,fnol_portal,2025-02-05T15:49:58.121859,2025-04-10T15:49:58.121859,claims_adjuster_002,claims_adjuster_001
CLM-000074,POL-000168,Taylor Inc,General Liability,2024-04-20,General Liability,Closed,418995.34,118303.39,Additional documentation requested from insured regarding General Liability.,False,False,confidential,adjuster_workbench,2024-04-20T15:49:58.121859,2024-06-22T15:49:58.121859,claims_adjuster_001,claims_manager_001
CLM-000075,POL-000082,Smith LLC,Commercial Property,2024-04-22,Property Damage,Closed,287227.38,94507.67,Initial review completed for Property Damage. Claim status is currently Closed.,False,True,internal,fnol_portal,2024-04-26T15:49:58.121859,2024-05-03T15:49:58.121859,claims_adjuster_002,claims_adjuster_001
CLM-000076,POL-000145,Romero-Martin,General Liability,2024-06-06,Theft,Denied,405079.42,1741.6,Initial review completed for Theft. Claim status is currently Denied.,False,False,restricted,adjuster_workbench,2024-06-11T15:49:58.121859,2024-10-02T15:49:58.121859,claims_manager_001,claims_manager_001
CLM-000077,POL-000259,"Lopez, Jordan and Johnson",General Liability,2024-06-01,Hail,Open,373231.39,185582.7,Coverage review in progress. Adjuster evaluating damages related to Hail.,False,True,restricted,claims_core_system,2024-06-03T15:49:58.121859,2024-08-27T15:49:58.121859,claims_adjuster_001,claims_adjuster_002
CLM-000078,POL-000081,Moore-Schroeder,Commercial Property,2025-09-09,Windstorm,Litigation,95834.5,80367.33,Pending supervisor review due to complexity of Windstorm claim.,False,False,restricted,claims_core_system,2025-09-19T15:49:58.121859,2026-01-15T15:49:58.121859,claims_adjuster_002,claims_adjuster_002
CLM-000079,POL-000020,Davies-Castillo,Umbrella,2024-08-22,Windstorm,Open,474034.17,13789.61,Additional documentation requested from insured regarding Windstorm.,False,True,internal,adjuster_workbench,2024-08-25T15:49:58.121859,2024-12-15T15:49:58.121859,claims_manager_001,claims_manager_001
CLM-000080,POL-000139,Campbell-Ho,General Liability,2025-04-14,Hail,Open,272447.42,253406.47,Additional documentation requested from insured regarding Hail.,False,False,confidential,fnol_portal,2025-04-16T15:49:58.121859,2025-05-13T15:49:58.121859,claims_adjuster_002,claims_manager_001
CLM-000081,POL-000192,Thompson-Johnston,General Liability,2024-05-15,Property Damage,Open,49651.01,29975.62,Pending supervisor review due to complexity of Property Damage claim.,False,True,internal,fnol_portal,2024-05-24T15:49:58.126452,2024-08-11T15:49:58.126452,claims_adjuster_001,claims_manager_001
CLM-000082,POL-000059,Wade LLC,Commercial Property,2025-04-24,Water Damage,Closed,495466.07,142104.52,Additional documentation requested from insured regarding Water Damage.,False,False,restricted,fnol_portal,2025-04-24T15:49:58.126452,2025-06-11T15:49:58.126452,claims_adjuster_002,claims_adjuster_001
CLM-000083,POL-000032,Bright LLC,Commercial Auto,2025-11-20,Workers Compensation,Litigation,332062.16,137772.77,Additional documentation requested from insured regarding Workers Compensation.,True,True,confidential,claims_core_system,2025-11-23T15:49:58.126452,2026-01-25T15:49:58.126452,claims_adjuster_001,claims_adjuster_002
CLM-000084,POL-000225,"Serrano, Morales and Schmidt",Workers Compensation,2025-12-16,Fire,Open,23652.9,12162.67,Initial review completed for Fire. Claim status is currently Open.,False,False,internal,claims_core_system,2025-12-21T15:49:58.126452,2026-04-11T15:49:58.126452,claims_adjuster_001,claims_manager_001
CLM-000085,POL-000102,"Swanson, Smith and Dean",Umbrella,2025-01-11,Water Damage,In Review,245986.43,244515.37,Additional documentation requested from insured regarding Water Damage.,False,False,confidential,adjuster_workbench,2025-01-11T15:49:58.126452,2025-01-24T15:49:58.126452,claims_adjuster_001,claims_adjuster_001
CLM-000086,POL-000275,"Huang, Dominguez and Rodriguez",General Liability,2024-07-20,Water Damage,Open,28543.92,5659.58,Additional documentation requested from insured regarding Water Damage.,False,False,restricted,fnol_portal,2024-07-20T15:49:58.126452,2024-08-22T15:49:58.126452,claims_manager_001,claims_adjuster_001
CLM-000087,POL-000027,Bryant-Mills,Workers Compensation,2026-04-22,General Liability,Litigation,27738.01,20188.4,Pending supervisor review due to complexity of General Liability claim.,True,False,internal,claims_core_system,2026-04-26T15:49:58.126452,2026-08-10T15:49:58.126452,claims_adjuster_001,claims_adjuster_002
CLM-000088,POL-000193,"Sims, Hicks and Harvey",General Liability,2024-07-05,General Liability,Closed,222175.85,45048.93,Claim file updated after inspection. Current status: Closed.,False,True,internal,claims_core_system,2024-07-13T15:49:58.126452,2024-09-14T15:49:58.126452,claims_adjuster_001,claims_adjuster_002
CLM-000089,POL-000106,Castillo Group,General Liability,2026-02-10,Property Damage,Litigation,495382.64,7185.27,Coverage review in progress. Adjuster evaluating damages related to Property Damage.,True,False,internal,claims_core_system,2026-02-12T15:49:58.126452,2026-04-11T15:49:58.126452,claims_adjuster_001,claims_adjuster_002
CLM-000090,POL-000087,"Bates, Rodriguez and Smith",Workers Compensation,2026-04-28,General Liability,Denied,375549.81,129862.07,Claim file updated after inspection. Current status: Denied.,False,True,internal,fnol_portal,2026-04-28T15:49:58.126452,2026-05-11T15:49:58.126452,claims_adjuster_002,claims_adjuster_001
CLM-000091,POL-000078,"Reyes, Santos and Roberts",Commercial Auto,2024-05-01,General Liability,Litigation,103588.02,55963.62,Initial review completed for General Liability. Claim status is currently Litigation.,True,True,internal,fnol_portal,2024-05-01T15:49:58.126452,2024-06-06T15:49:58.126452,claims_adjuster_002,claims_adjuster_002
CLM-000092,POL-000168,"Cruz, Cameron and Chambers",General Liability,2024-10-16,Fire,Litigation,152455.26,64404.62,Claim file updated after inspection. Current status: Litigation.,True,False,confidential,fnol_portal,2024-10-22T15:49:58.126452,2025-02-17T15:49:58.126452,claims_manager_001,claims_manager_001
CLM-000093,POL-000221,Moody Ltd,Commercial Auto,2024-08-31,Windstorm,Open,49951.46,49313.04,Initial review completed for Windstorm. Claim status is currently Open.,False,False,confidential,claims_core_system,2024-09-07T15:49:58.126452,2024-09-08T15:49:58.126452,claims_adjuster_001,claims_adjuster_002
